mes,submercado,producao_mwm,compra_existente_mwm,venda_existente_mwm,compra_nova_mwm,venda_nova_mwm,exposicao_final_mwm
2024-05-01,NE,14.13,0.0,8.83,0.0,0.0,5.3
2024-05-01,SE,30.92,0.0,21.34,0.0,0.0,9.58
2024-06-01,NE,16.97,0.0,8.83,0.0,0.0,8.14
2024-06-01,SE,29.37,0.0,21.34,0.0,0.0,8.03
2024-07-01,NE,17.22,0.0,8.83,0.0,0.0,8.39
2024-07-01,SE,28.52,0.0,21.34,0.0,0.0,7.18
2024-08-01,NE,17.0,0.0,8.83,0.0,0.0,8.17
2024-08-01,SE,27.24,0.0,21.34,0.0,0.0,5.9
2024-09-01,NE,16.47,0.0,8.83,0.0,0.0,7.64
2024-09-01,SE,27.93,0.0,21.34,0.0,0.0,6.59
2024-10-01,NE,13.0,0.0,8.83,0.0,0.0,4.17
2024-10-01,SE,21.82,0.0,21.34,0.0,0.0,0.48
2024-11-01,NE,10.28,0.0,8.83,0.0,0.0,1.45
2024-11-01,SE,23.53,0.0,21.34,0.0,0.0,2.19
2024-12-01,NE,8.39,0.0,8.83,0.0,0.0,-0.44
2024-12-01,SE,20.19,0.0,21.34,0.0,0.0,-1.15
2025-01-01,NE,4.42,0.0,8.83,0.0,0.0,-4.41
2025-01-01,SE,23.59,0.0,21.34,0.0,0.0,2.25
2025-02-01,NE,9.84,0.0,8.83,0.0,0.0,1.01
2025-02-01,SE,24.5,0.0,21.34,0.0,0.0,3.16
2025-03-01,NE,9.64,0.0,8.83,0.0,0.0,0.81
2025-03-01,SE,23.9,0.0,21.34,0.0,0.0,2.56
2025-04-01,NE,8.57,0.0,8.83,0.0,0.0,-0.26
2025-04-01,SE,33.4,0.0,21.34,0.0,0.0,12.06
2025-05-01,NE,14.13,0.0,8.83,0.0,0.0,5.3
2025-05-01,SE,30.83,0.0,21.34,0.0,0.0,9.49
2025-06-01,NE,17.04,0.0,8.83,0.0,0.0,8.21
2025-06-01,SE,29.5,0.0,21.34,0.0,0.0,8.16
2025-07-01,NE,17.22,0.0,8.83,0.0,0.0,8.39
2025-07-01,SE,28.48,0.0,21.34,0.0,0.0,7.14
2025-08-01,NE,16.95,0.0,8.83,0.0,0.0,8.12
2025-08-01,SE,27.25,0.0,21.34,0.0,0.0,5.91
2025-09-01,NE,16.47,0.0,8.83,0.0,0.0,7.64
2025-09-01,SE,27.88,0.0,21.34,0.0,0.0,6.54
2025-10-01,NE,13.01,0.0,8.83,0.0,0.0,4.18
2025-10-01,SE,21.82,0.0,21.34,0.0,0.0,0.48
2025-11-01,NE,10.28,0.0,8.83,0.0,0.0,1.45
2025-11-01,SE,23.29,0.0,21.34,0.0,0.0,1.95
2025-12-01,NE,8.4,0.0,8.83,0.0,0.0,-0.43
2025-12-01,SE,20.22,0.0,21.34,0.0,0.0,-1.12
