Lambda,Retorno_Milhoes,CVaR_Lucro_Milhoes,Volume_Hedge_MW,Tempo_Segundos
NaN,315.58578638168086,297.2822853597141,0.0,0.0
0.001,730.5651063816815,712.2616053597138,10200.0,0.36500000953674316
0.005,730.5651063816815,712.2616053597138,10200.0,0.3640000820159912
0.01,730.5470136916514,714.9958554307035,10204.868227452498,0.36500000953674316
0.02,730.475736093073,720.1750077405845,10493.879959492931,0.48600006103515625
0.03,730.4595928929534,720.8375421886392,10536.209158820964,0.5539999008178711
0.04,730.4561682451064,720.9387640469852,10550.936816615795,0.6089999675750732
0.05,730.4487961646533,721.1023753617332,10560.977891643763,0.6070001125335693
0.1,730.423288651362,721.4757440832018,10631.555899046429,0.693000078201294
0.3,730.4042761767081,721.6074177360993,10708.344017950021,0.8529999256134033
0.5,730.3997296008731,721.6199383502473,10730.134662015265,0.690000057220459
0.7,730.3985533372957,721.6218850071698,10735.787262063319,0.9360001087188721
0.9,730.3885158615819,721.6339936367505,10765.457632775338,0.9270000457763672
0.99,730.3858627034782,721.6368598871309,10782.050039214182,1.0750000476837158
1.0,730.3858627034782,721.6368598871309,10782.050039214182,0.8980000019073486
