MES_REFERENCIA;GARANTIA_FISICA;GARANTIA_FISICA_IA_IIA;GARANTIA_FISICA_APURADA
202412;84762.39617383064;1679.197326241935;3616.877544575269
202411;86286.61046958056;893.668787475;4110.915123759722
202410;86270.91479624866;922.403531956989;4363.826720522849
202409;85664.4817238514;915.238378977778;4638.900788734722
202408;89596.34791630645;916.139605025538;4474.414226873656
202407;89819.94947354033;914.976290423387;4190.03713743414
202406;88148.77692196806;927.298910111111;4055.867993947222
202405;88751.77383866532;1155.663238305108;3829.947740764785
202404;87119.727476325;1154.542444554167;3357.961508909722
202403;86008.45228072716;1153.634103383065;2954.931534418011
202402;85320.02652712357;1154.940209602011;3085.112431014368
202401;85555.53892439113;1155.01291624328;2841.574213158602
