mes,no,no_pai,pld_sub,exposicao_sub,ticker,compra_mwm,venda_mwm,saldo_mi
2026-02-01,7,2,221.3,1.487136e7,NE26FEV3,100.0,-0.0,64.018
2026-02-01,7,2,221.3,1.487136e7,NE26FEV6,100.0,-0.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV1,-0.0,100.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV3,-0.0,100.0,64.018
2026-02-01,7,2,194.57,-1.3075104e7,S26FEV6,-0.0,100.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV1,100.0,-0.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV3,100.0,-0.0,64.018
2026-02-01,7,2,221.75,1.49016e7,SE26FEV6,100.0,-0.0,64.018
2026-02-01,8,3,157.06,-1.0554432e7,N26FEV1,0.0,100.0,102.179
2026-02-01,8,3,157.06,1.0554432e7,N26FEV3,100.0,0.0,102.179
2026-02-01,8,3,157.06,-3.58178657e6,N26FEV6,0.0,33.9363,102.179
2026-02-01,8,3,236.66,-515736.99,NE26FEV1,0.0,3.2429,102.179
2026-02-01,8,3,236.66,1.5903552e7,NE26FEV3,100.0,0.0,102.179
2026-02-01,8,3,236.66,1.5903552e7,NE26FEV6,100.0,0.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV1,0.0,100.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV3,0.0,100.0,102.179
2026-02-01,8,3,84.7,-5.69184e6,S26FEV6,0.0,100.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV1,100.0,0.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV3,100.0,0.0,102.179
2026-02-01,8,3,328.81,2.2096032e7,SE26FEV6,100.0,0.0,102.179
2026-02-01,9,3,57.31,-3.851232e6,N26FEV1,-0.0,100.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,N26FEV3,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,-1.30696669e6,N26FEV6,-0.0,33.9363,-37.256
2026-02-01,9,3,57.31,-124891.77,NE26FEV1,-0.0,3.2429,-37.256
2026-02-01,9,3,57.31,3.851232e6,NE26FEV3,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,NE26FEV6,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,-3.851232e6,S26FEV1,-0.0,100.0,-37.256
2026-02-01,9,3,57.31,-3.851232e6,S26FEV3,-0.0,100.0,-37.256
2026-02-01,9,3,57.31,-3.851232e6,S26FEV6,-0.0,100.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,SE26FEV1,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,SE26FEV3,100.0,-0.0,-37.256
2026-02-01,9,3,57.31,3.851232e6,SE26FEV6,100.0,-0.0,-37.256
2026-02-01,10,3,102.42,-6.882624e6,N26FEV1,-0.0,100.0,21.422
2026-02-01,10,3,102.42,6.882624e6,N26FEV3,100.0,-0.0,21.422
2026-02-01,10,3,102.42,-2.33570979e6,N26FEV6,-0.0,33.9363,21.422
2026-02-01,10,3,221.3,-482263.99,NE26FEV1,-0.0,3.2429,21.422
2026-02-01,10,3,221.3,1.487136e7,NE26FEV3,100.0,-0.0,21.422
2026-02-01,10,3,221.3,1.487136e7,NE26FEV6,100.0,-0.0,21.422
2026-02-01,10,3,194.57,-1.3075104e7,S26FEV1,-0.0,100.0,21.422
2026-02-01,10,3,194.57,-1.3075104e7,S26FEV3,-0.0,100.0,21.422
2026-02-01,10,3,194.57,-1.3075104e7,S26FEV6,-0.0,100.0,21.422
2026-02-01,10,3,221.75,1.49016e7,SE26FEV1,100.0,-0.0,21.422
2026-02-01,10,3,221.75,1.49016e7,SE26FEV3,100.0,-0.0,21.422
2026-02-01,10,3,221.75,1.49016e7,SE26FEV6,100.0,-0.0,21.422
2026-02-01,11,4,157.06,-1.0554432e7,N26FEV1,0.0,100.0,133.462
2026-02-01,11,4,157.06,1.0554432e7,N26FEV3,100.0,0.0,133.462
2026-02-01,11,4,157.06,1.0554432e7,N26FEV6,100.0,0.0,133.462
2026-02-01,11,4,236.66,0.0,NE26FEV1,0.0,0.0,133.462
2026-02-01,11,4,236.66,1.5903552e7,NE26FEV3,100.0,0.0,133.462
2026-02-01,11,4,236.66,1.5903552e7,NE26FEV6,100.0,0.0,133.462
2026-02-01,11,4,84.7,-5.69184e6,S26FEV1,0.0,100.0,133.462
2026-02-01,11,4,84.7,-5.69184e6,S26FEV3,0.0,100.0,133.462
2026-02-01,11,4,84.7,-5.69184e6,S26FEV6,0.0,100.0,133.462
2026-02-01,11,4,328.81,2.2096032e7,SE26FEV1,100.0,0.0,133.462
2026-02-01,11,4,328.81,2.2096032e7,SE26FEV3,100.0,0.0,133.462
2026-02-01,11,4,328.81,2.2096032e7,SE26FEV6,100.0,0.0,133.462
2026-02-01,12,4,57.31,-3.851232e6,N26FEV1,-0.0,100.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,N26FEV3,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,N26FEV6,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,0.0,NE26FEV1,-0.0,-0.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,NE26FEV3,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,NE26FEV6,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,-3.851232e6,S26FEV1,-0.0,100.0,-15.342
2026-02-01,12,4,57.31,-3.851232e6,S26FEV3,-0.0,100.0,-15.342
2026-02-01,12,4,57.31,-3.851232e6,S26FEV6,-0.0,100.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,SE26FEV1,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,SE26FEV3,100.0,-0.0,-15.342
2026-02-01,12,4,57.31,3.851232e6,SE26FEV6,100.0,-0.0,-15.342
2026-02-01,13,4,102.42,-6.882624e6,N26FEV1,-0.0,100.0,47.753
2026-02-01,13,4,102.42,6.882624e6,N26FEV3,100.0,-0.0,47.753
2026-02-01,13,4,102.42,6.882624e6,N26FEV6,100.0,-0.0,47.753
2026-02-01,13,4,221.3,0.0,NE26FEV1,-0.0,-0.0,47.753
2026-02-01,13,4,221.3,1.487136e7,NE26FEV3,100.0,-0.0,47.753
2026-02-01,13,4,221.3,1.487136e7,NE26FEV6,100.0,-0.0,47.753
2026-02-01,13,4,194.57,-1.3075104e7,S26FEV1,-0.0,100.0,47.753
2026-02-01,13,4,194.57,-1.3075104e7,S26FEV3,-0.0,100.0,47.753
2026-02-01,13,4,194.57,-1.3075104e7,S26FEV6,-0.0,100.0,47.753
2026-02-01,13,4,221.75,1.49016e7,SE26FEV1,100.0,-0.0,47.753
2026-02-01,13,4,221.75,1.49016e7,SE26FEV3,100.0,-0.0,47.753
2026-02-01,13,4,221.75,1.49016e7,SE26FEV6,100.0,-0.0,47.753
2026-03-01,14,5,506.38,3.7674672e7,N26MAR1,100.0,0.0,955.354
2026-03-01,14,5,506.38,3.7674672e7,N26MAR3,100.0,0.0,955.354
2026-03-01,14,5,506.38,3.7674672e7,N26MAR6,100.0,0.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,NE26MAR1,100.0,0.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,NE26MAR3,100.0,0.0,955.354
2026-03-01,14,5,785.27,5.8424088e7,NE26MAR6,100.0,0.0,955.354
2026-03-01,14,5,255.18,1.8985392e7,S26MAR1,100.0,0.0,955.354
